# time	signal	sigma
-4.230749920013444772e-06	8.154001636689879823e-05	1.900112543109865482e-03
-4.228749920070008635e-06	8.228670406343936304e-05	1.900219473775169570e-03
-4.226749920126572498e-06	8.221787188086648402e-05	1.902178384507829468e-03
-4.224749920183136361e-06	8.219423028711254626e-05	1.905339275923748727e-03
-4.222749920239700224e-06	8.320249068977954689e-05	1.907817095432220306e-03
-4.220749920296264087e-06	8.350038148183659518e-05	1.909793380458733219e-03
-4.218749920352827950e-06	8.053262488522496595e-05	1.910242134392189364e-03
-4.216749920409391813e-06	7.859402332451796269e-05	1.910751169313982352e-03
-4.214749920465955676e-06	7.775427918596045703e-05	1.916882111512737807e-03
-4.212749920522519539e-06	7.682191966549401603e-05	1.919034976045914031e-03
-4.210749920579083401e-06	7.439228382080976545e-05	1.920886507310328849e-03
-4.208749920635647264e-06	7.221690457917373355e-05	1.924301552035092991e-03
-4.206749920692211127e-06	7.039323835911436261e-05	1.928629181185826822e-03
-4.204749920748774990e-06	7.098586632138966488e-05	1.931423590504976117e-03
-4.202749920805338853e-06	7.099332554167440371e-05	1.933367848864419583e-03
-4.200749920861902716e-06	7.173781115363392076e-05	1.934731267303349241e-03
-4.198749920918466579e-06	7.299975842766535320e-05	1.933659192568195880e-03
-4.196749920975030442e-06	7.380691971981197827e-05	1.931972942650177650e-03
-4.194749921031594305e-06	7.281584958498489633e-05	1.931410390881205599e-03
-4.192749921088158168e-06	7.449581166552908334e-05	1.929141572211889736e-03
-4.190749921144722031e-06	7.317115697449601828e-05	1.926000706736207511e-03
-4.188749921201285894e-06	7.190742588057456809e-05	1.922229973324499899e-03
-4.186749921257849757e-06	6.863654331780170352e-05	1.918819244268610540e-03
-4.184749921314413620e-06	6.615199251213668349e-05	1.916241875558343660e-03
-4.182749921370977482e-06	6.728425590367929790e-05	1.915891853143580816e-03
-4.180749921427541345e-06	6.593636125660100919e-05	1.911624757884383945e-03
-4.178749921484105208e-06	6.453767965954614104e-05	1.906439641185997966e-03
-4.176749921540669071e-06	6.226824075798308329e-05	1.902198594578070933e-03
-4.174749921597232934e-06	5.951149126331658655e-05	1.899098849265900115e-03
-4.172749921653796797e-06	6.149063862393976403e-05	1.904066674464748640e-03
-4.170749921710360660e-06	5.854366609574390863e-05	1.902542607814474004e-03
-4.168749921766924523e-06	5.509261889150784627e-05	1.902026749315235965e-03
-4.166749921823488386e-06	4.983612967252610962e-05	1.900794586810868915e-03
-4.164749921880052249e-06	4.696114732945629250e-05	1.901136435989332412e-03
-4.162749921936616112e-06	4.372592703815069066e-05	1.901545055822897448e-03
